ID	Dev._Stage	Timepoint	Site	Date	Tree_spec.	Tree_Numb	Tree_ID	Defoliation_level	Sample	Latitude	Longitude	Dposcontrol_extraction_ID	Dposcontrol_extraction_kit	Notes	Date_of_extraction	Negative
N1	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	N1	Kit1	negcontrol	23/04/18	N1
N10	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	N10	Kit3	negcontrol	23/07/18	N10
N11	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	N11	Kit3	negcontrol	1/8/2018	N11
N12	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	N12	Kit3	negcontrol	1/8/2018	N12
N3	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	N3	Kit1	negcontrol	17/07/18	N3
N4	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	N4	Kit1	negcontrol	17/07/18	N4
N5	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	N5	Kit2	negcontrol	18/07/18	N5
N6	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	N6	Kit2	negcontrol	18/07/18	N6
N7	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	N7	Kit2	negcontrol	20/07/18	N7
N8	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	N8	Kit2	negcontrol	20/07/18	N8
N9	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	negcontrol	N9	Kit3	negcontrol	23/07/18	N9
NegFor10	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol
NegFor11	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol
NegFor12	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol
NegFor2	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol	pcrnegcontrol
